1:1:1	الٓمٓصٓ	P	INL|
11:15:1	مِّنَ	P	P|LEM:مِن
11:16:1	ٱل	P	DET|PREF|LEM:ال
11:16:2	سَّٰجِدِينَ	N	ACT_PCPL|VF:1|ROOT:سجد|LEM:ساجِد|MP|GEN
12:1:1	قَالَ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MS
12:2:1	مَا	N	INTG|LEM:ما
12:3:1	مَنَعَ	V	PERF|VF:1|ROOT:منع|LEM:مَنَعَ|3MS
12:3:2	كَ	N	PRON|SUFF|2MS
12:4:1	أَ	P	SUB|LEM:أَن
12:4:2	لَّا	P	NEG|LEM:لا
12:5:1	تَسْجُدَ	V	IMPF|VF:1|ROOT:سجد|LEM:سَجَدَ|2MS|MOOD:SUBJ
12:6:1	إِذْ	N	T|LEM:إِذ
12:7:1	أَمَرْ	V	PERF|VF:1|ROOT:أمر|LEM:أَمَرَ|1S
12:7:2	تُ	N	PRON|SUFF|1S
12:7:3	كَ	N	PRON|SUFF|2MS
12:8:1	قَالَ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MS
12:9:1	أَنَا۠	N	PRON|1S
12:10:1	خَيْرٌ	N	ROOT:خير|LEM:خَيْر|MS|INDEF|NOM
12:11:1	مِّنْ	P	P|LEM:مِن
12:11:2	هُ	N	PRON|SUFF|3MS
12:12:1	خَلَقْ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|2MS
12:12:2	تَ	N	PRON|SUFF|2MS
12:12:3	نِى	N	PRON|SUFF|1S
12:13:1	مِن	P	P|LEM:مِن
12:14:1	نَّارٍ	N	ROOT:نور|LEM:نار|F|INDEF|GEN
12:15:1	وَ	P	CONJ|PREF|LEM:و
12:15:2	خَلَقْ	V	PERF|VF:1|ROOT:خلق|LEM:خَلَقَ|2MS
12:15:3	تَ	N	PRON|SUFF|2MS
12:15:4	هُۥ	N	PRON|SUFF|3MS
12:16:1	مِن	P	P|LEM:مِن
12:17:1	طِينٍ	N	ROOT:طين|LEM:طِين|M|INDEF|GEN
13:1:1	قَالَ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MS
13:2:1	فَ	P	SUP|PREF|LEM:ف
13:2:2	ٱهْبِطْ	V	IMPV|VF:1|ROOT:هبط|LEM:يَهْبِطُ|2MS
13:3:1	مِنْ	P	P|LEM:مِن
13:3:2	هَا	N	PRON|SUFF|3FS
13:4:1	فَ	P	REM|PREF|LEM:ف
13:4:2	مَا	P	NEG|LEM:ما
13:5:1	يَكُونُ	V	IMPF|VF:1|ROOT:كون|LEM:كانَ|3MS|MOOD:IND
13:6:1	لَ	P	P|PREF|LEM:ل
13:6:2	كَ	N	PRON|2MS
13:7:1	أَن	P	SUB|LEM:أَن
13:8:1	تَتَكَبَّرَ	V	IMPF|VF:5|ROOT:كبر|LEM:يَتَكَبَّرُ|2MS|MOOD:SUBJ
13:9:1	فِي	P	P|LEM:فِي
13:9:2	هَا	N	PRON|SUFF|3FS
13:10:1	فَ	P	REM|PREF|LEM:ف
13:10:2	ٱخْرُجْ	V	IMPV|VF:1|ROOT:خرج|LEM:خَرَجَ|2MS
13:11:1	إِنَّ	P	ACC|LEM:إِنّ|FAM:إِنّ
13:11:2	كَ	N	PRON|SUFF|2MS
13:12:1	مِنَ	P	P|LEM:مِن
13:13:1	ٱل	P	DET|PREF|LEM:ال
13:13:2	صَّٰغِرِينَ	N	ACT_PCPL|VF:1|ROOT:صغر|LEM:صاغِر|MP|GEN
14:1:1	قَالَ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MS
14:2:1	أَنظِرْ	V	IMPV|VF:4|ROOT:نظر|LEM:يُنظَرُ|2MS
14:2:2	نِىٓ	N	PRON|SUFF|1S
14:3:1	إِلَىٰ	P	P|LEM:إِلَى
14:4:1	يَوْمِ	N	ROOT:يوم|LEM:يَوْم|M|GEN
